band,mean,std
dewpoint_temperature_2m,86.05852904295672,108.84780548869798448
temperature_2m,78.69896827984856,117.42751385181012155
volumetric_soil_water_layer_1,-1.0991629388975603,0.7670204546438510858
volumetric_soil_water_layer_2,-1.0956686324021039,0.77000196308480907355
volumetric_soil_water_layer_3,-1.0957574962429346,0.76786419001298251085
volumetric_soil_water_layer_4,-1.097554672461054,0.77825554290372113685
surface_net_solar_radiation_sum,-39357056.43074049,31528034.224297112485
surface_net_thermal_radiation_sum,-46536974.92125358,23191641.997235781868
u_component_of_wind_10m,-68.70063214942809,39.624301814286704882
v_component_of_wind_10m,-63.27914901448633,36.448649164247684196
surface_pressure,-31075.771572505797,70077.92384621605933
total_precipitation_sum,-0.3834884217952973,0.2410216599813958691
snow_depth_water_equivalent,-15.112045369822386,8.810092142033475048
potential_evaporation_sum,-0.23843659774639042,0.13650610141367230009
